"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","549","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.gprc","Sun Apr 26 13:34:40 UTC 2026","passed","Sun Apr 26 13:34:41 UTC 2026","TestOperationsGRPC","test_operations","",""
"","45","[HTTP] Get account details. User with active debit card account","tests.suites.http","Sun Apr 26 13:34:42 UTC 2026","passed","Sun Apr 26 13:34:42 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","22","[gRPC] Get user details. User with active credit card account","tests.suites.gprc","Sun Apr 26 13:34:40 UTC 2026","passed","Sun Apr 26 13:34:40 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","511","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.gprc","Sun Apr 26 13:34:41 UTC 2026","passed","Sun Apr 26 13:34:41 UTC 2026","TestOperationsGRPC","test_operations","",""
"","18","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.gprc","Sun Apr 26 13:34:41 UTC 2026","broken","Sun Apr 26 13:34:41 UTC 2026","TestOperationsGRPC","test_operations","",""
"","15","[gRPC] Get account details. User with active debit card account","tests.suites.gprc","Sun Apr 26 13:34:40 UTC 2026","passed","Sun Apr 26 13:34:40 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","12","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.gprc","Sun Apr 26 13:34:41 UTC 2026","passed","Sun Apr 26 13:34:41 UTC 2026","TestOperationsGRPC","test_operations","",""
"","546","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Sun Apr 26 13:34:42 UTC 2026","passed","Sun Apr 26 13:34:42 UTC 2026","TestOperationsHTTP","test_operations","",""
"","51","[HTTP] Get user details. User with active credit card account","tests.suites.http","Sun Apr 26 13:34:42 UTC 2026","passed","Sun Apr 26 13:34:42 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","10","[HTTP][Postgres] Filter by account id. Completed purchase operation","tests.suites.http","Sun Apr 26 13:34:43 UTC 2026","passed","Sun Apr 26 13:34:43 UTC 2026","TestOperationsHTTP","test_operations","",""
"","542","[HTTP][Kafka] Operation events. Completed purchase operation","tests.suites.http","Sun Apr 26 13:34:42 UTC 2026","passed","Sun Apr 26 13:34:43 UTC 2026","TestOperationsHTTP","test_operations","",""
"","4","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Sun Apr 26 13:34:43 UTC 2026","broken","Sun Apr 26 13:34:43 UTC 2026","TestOperationsHTTP","test_operations","",""
